id,name
0,Франция
1,Мальта
5,Новая Зеландия
8,Куба
10,Пуэрто-Рико
11,Португалия
13,Катар
14,Беларусь
16,Иран
20,Чехия
24,Казахстан
25,Финляндия
31,Македония
38,Румыния
40,Уругвай
41,Эквадор
45,Сербия
46,Швеция
49,Мексика
50,Таиланд
52,Марокко
57,Филиппины
58,Австрия
60,Чехословакия
61,Греция
62,Израиль
63,Лихтенштейн
66,ОАЭ
71,Северная Корея
81,Ирландия
82,ФРГ
83,Болгария
84,Сингапур
85,Афганистан
88,ЮАР
91,Маврикий
92,Югославия
93,Ватикан
99,Парагвай
102,США
104,Австралия
105,Колумбия
106,Малайзия
109,Италия
111,Армения
112,Саудовская Аравия
114,Азербайджан
117,Китай
120,Монголия
121,Канада
122,Великобритания
125,Острова Кайман
126,Бразилия
128,Ливан
130,Тунис
143,Венгрия
144,Руанда
145,Литва
146,Южная Африка
148,Багамы
155,Доминикана
158,Словения
159,Кения
162,Турция
165,Грузия
166,Япония
170,Дания
175,Бельгия
183,Индонезия
184,Тайвань
186,Люксембург
188,Германия
191,Монако
198,Пакистан
200,Швейцария
205,СССР
208,Кипр
209,ПНР
211,Украина
212,Польша
214,Чили
216,Нидерланды
219,Хорватия
220,Латвия
222,Эстония
227,Босния и Герцеговина
231,Словакия
235,Исландия
237,Норвегия
238,Россия
242,Испания
244,Южная Корея
245,Аргентина
247,Перу
248,Алжир
249,Узбекистан
250,Гонконг
251,Непал
252,Индия
254,Вьетнам
