id,name,role
0,Юрий Волынцев,actor
1,Коннор Смит,actor
2,Майкл Гандольфини,actor
3,Майкл Маркс,producer
4,Кад Мерад,actor
5,Жан Нанга,actor
6,Джордан Сэллоум,actor
7,Эми Шварц,editor
8,Джеки Уивер,actor
9,Риан Кехилл,producer
10,Ария Лайрик Либу,actor
11,Уте Эммерих,producer
12,Барби Тун,producer
13,Игорь Сеньков,director
14,Роберт Кэрлок,writer
15,Лиор Ашкенази,actor
16,Ребекка Мэтьюз,producer
17,Клеа ДюВолл,actor
18,Дима Горшков,actor
19,Томасин МакКензи,actor
20,Гарри Антон,actor
21,Тимербулат Каримов,producer
22,Дэйв Лапоммерей,actor
23,Екатерина Ризо,editor
24,Ной Баумбах,director
25,Марк Тондерай,writer
26,Маурицио Манни,producer
27,Эрик Эбони,actor
28,Род Парадо,actor
29,Николай Лырчиков,director
30,Рон Осборн,writer
31,Алессио Лигуори,director
32,Джейден Смит,actor
33,Ннека Онуора,director
34,Кристиан Дюэкьер,director
35,Фенар Ахмад,director
36,Кит Харингтон,actor
37,Патрик Фишлер,actor
38,Эдисон Денисов,composer
39,Фредерик Обюртен,director
40,Джошуа Малина,actor
41,Аллан Лоб,writer
42,Биргит Минихмайр,actor
43,Уильям Шифрин,writer
44,Йохан Урб,actor
45,Коуди Кэмерон,director
46,Валерий Осипов,writer
47,Жилль Леллуш,actor
48,Жюльен Дери,producer
49,Елена Полякова,actor
50,Ванесса Дэвис,writer
51,Александр Боярский,actor
52,Роман Полански,director
53,Арлисс Ховард,actor
54,Алексей Мизгирёв,writer
55,Джеймс Гандольфини,actor
56,Людмила Маркелия,actor
57,Чад Майкл Мюррэй,actor
58,Пейтон Рид,director
59,Люсия Вартикян,editor
60,Джон Кэрролл Линч,actor
61,Томас Хань Уль Парк,editor
62,Кайли Ду Фран,producer
63,Майк Лобел,actor
64,Бэз Лурмэнн,director
65,Кани Кусрути,actor
66,Дреа де Маттео,actor
67,Пьер Сентон,actor
68,Татьяна Паугофова,actor
69,Билл Милнер,actor
70,Меган Маркл,actor
71,Павел Крайнов,actor
72,Олег Шестинский,writer
73,Борис Гуц,editor
74,Дэвид Форбс,producer
75,Кит Леонард,actor
76,Джоди Бенсон,actor
77,Жан-Поль Рув,actor
78,Тодд Рундгрен,composer
79,Хосе Мария Гонсалес Синде,producer
80,Йоанн Бланк,actor
81,Геннадий Сидоров,actor
82,Тиш Сайрус,producer
83,Ли Чхан-дон,writer
84,Том Гэллоп,actor
85,Матеуш Даменцки,actor
86,Светлана Строганова,actor
87,Альбер Дельпи,actor
88,Диего Эспехель,actor
89,Алексей Глазырин,actor
90,Ген Сето,actor
91,Ник Хукер,director
92,Александр Чечулин,editor
